Player_ID,Content,Created_Time,Favourite_Count,Retweet_Count,Tweet_ID,User_ID
ejgmorgan,EJG Morgan (ENG) has scored most runs of all left-handed T20 intl batsmen losing away after losing the toss https://t.co/digDPG2IAF,2019-03-06 03:10:43,0,0,1103130760687566850,3408932446
ejgmorgan,"WI vs ENG 1st T20I: Live Match In Progress - https://t.co/HDxjceJ54o #cricket #WI #ENG #WIvENG #ENGvWI
WI 160/8 (20… https://t.co/aVKtdcYs1Z",2019-03-05 22:27:23,1,0,1103059460359114757,19389647
ejgmorgan,EJG Morgan (ENG) has scored most runs of all left-handed T20 intl batsmen losing away https://t.co/7V9rY1JxCI,2019-03-03 12:10:46,0,0,1102179506742272000,3408932446
ejgmorgan,"WI vs ENG 5th ODI: Live Match In Progress - https://t.co/hhoutt3p7r #cricket #ENG #WI #ENGvWI #WIvENG
ENG 63/4 (13.… https://t.co/sfB7OG23Ze",2019-03-02 16:12:03,0,0,1101877840285519872,19389647
jeroot,"The Root University Dean Resigns Over Chick-fil-A Campus Ban | Deadspin Hmm, Maybe The Warriors With… https://t.co/tS8FKNv7SD",2019-03-06 16:59:14,0,0,1103339263934947328,722633396481060864
jcbuttler,"WI vs ENG 5th ODI: Live Match In Progress - https://t.co/hhoutt3p7r #cricket #ENG #WI #ENGvWI #WIvENG
ENG 113/8 (26… https://t.co/Xl5rzsn3vO",2019-03-02 17:10:43,1,0,1101892603346411522,19389647
jcbuttler,"WI vs ENG 5th ODI: Live Match In Progress - https://t.co/hhoutt3p7r #cricket #ENG #WI #ENGvWI #WIvENG
ENG 111/7 (26… https://t.co/vtv8ubMMxy",2019-03-02 17:07:53,1,0,1101891888976744448,19389647
jcbuttler,"WI vs ENG 5th ODI: Live Match In Progress - https://t.co/hhoutt3p7r #cricket #ENG #WI #ENGvWI #WIvENG
ENG 111/6 (24… https://t.co/QwtyQW18lH",2019-03-02 16:58:49,2,0,1101889606943944705,19389647
spdsmith,@TheBigWilly90 Willy Gus still is being held  for trial for  SPD PICKING HIM UP IN HIS YARD  TRYING  TO TOTE HIM IN… https://t.co/ARV8tUz3FP,2019-03-02 18:42:20,0,0,1101915658948878339,715424840761487362
spdsmith,SPD Smith has the highest average of all right-handed Australia batsmen losing away vs West Indies https://t.co/2sZRqmLPAM,2019-03-02 03:10:55,0,0,1101681260307595264,3408932446
abdevilliers,I WAS FR AB TO DIE,2019-03-06 22:13:23,0,0,1103418323084046336,3408604392
abdevilliers,"RT @ThePoniExpress: .@AKinkhabwala tells @937theFan Antonio Brown's agent, Drew Rosenhaus, has PROMISED AB a new contract with his new team.",2019-03-06 22:13:21,31,21,1103418314393554945,1382841594
abdevilliers,"RT @ThePoniExpress: .@AKinkhabwala tells @937theFan Antonio Brown's agent, Drew Rosenhaus, has PROMISED AB a new contract with his new team.",2019-03-06 22:13:21,31,21,1103418314234232832,3493889549
hmamla,"@faf1307 5000 ODI Runs 3rd fastest in terms of innings for South Africa
HM Amla 101 inns
AB de Villiers 122
Faf du Plessis 125",2019-03-06 13:39:42,1,0,1103289051170459648,262523109
